Pos,ID,Name,BV,SV,Team,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,Elite%
F,564,Rusyn,4.4,4.4,Sunderland,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,565,Vicario,4.8,4.8,Spurs,94,3.33,94,3.00,93,3.25,91,3.60,91,2.83,92,3.57,89,3.31,90,3.84,92,3.13,91,2.90,0.00
G,566,Austin,3.9,3.9,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,567,Kinsky,3.9,3.9,Spurs,0,0.00,2,0.05,4,0.13,3,0.11,4,0.13,4,0.17,5,0.18,4,0.18,8,0.27,5,0.17,0.00
D,568,Pedro Porro,5.2,5.2,Spurs,0,0.00,35,1.05,73,2.85,84,4.08,83,2.40,79,3.79,83,3.60,81,4.14,84,3.48,73,2.33,0.01
D,569,Romero,5.0,5.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,80,2.52,84,3.79,80,3.48,68,3.36,84,3.43,80,2.62,0.00
D,570,Danso,4.2,4.2,Spurs,0,0.00,0,0.00,35,1.46,51,2.43,44,1.46,39,1.80,38,1.70,48,2.45,41,1.69,45,1.56,0.00
D,571,Davies,4.3,4.3,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,11,0.48,17,0.63,23,0.70,0.00
D,572,Dragusin,4.5,4.5,Spurs,87,3.15,86,2.50,61,2.22,49,2.09,6,0.13,14,0.55,11,0.38,16,0.69,6,0.17,6,0.16,0.00
D,573,Spence,4.2,4.2,Spurs,80,2.77,80,2.07,80,2.67,78,3.26,67,1.69,56,2.33,54,2.09,51,2.27,48,1.76,48,1.37,0.00
D,574,Udogie,4.3,4.3,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,24,0.62,43,1.76,48,1.85,48,2.14,41,1.47,45,1.26,0.00
D,575,Van de Ven,4.5,4.5,Spurs,91,3.02,87,2.30,84,2.83,86,3.47,82,2.06,84,3.31,80,3.04,80,3.42,84,2.94,83,2.25,0.00
D,576,Phillips,4.0,4.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,577,Takai,4.0,4.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,578,Vuskovic,3.9,3.9,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,579,Son,8.5,8.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,580,Johnson,6.5,6.5,Crystal Palace,33,2.16,35,2.18,35,1.68,37,1.88,38,2.16,33,0.15,39,2.09,36,3.75,38,1.09,35,1.83,0.00
M,581,Maddison,6.8,6.8,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,582,Kudus,6.4,6.4,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,23,1.22,48,3.06,53,2.60,59,2.65,0.00
M,583,Kulusevski,6.4,6.4,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,30,1.22,59,2.97,62,2.90,60,3.38,47,2.09,51,2.15,0.00
M,584,Tel,6.2,6.2,Spurs,28,1.66,30,1.43,26,1.46,23,1.48,17,0.92,11,0.73,8,0.53,6,0.50,4,0.27,4,0.29,0.00
M,585,Bentancur,5.3,5.3,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,22,0.89,52,2.41,56,2.02,53,1.94,0.00
M,586,Bergvall,5.2,5.2,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,15,0.71,19,1.08,19,0.83,25,1.09,0.00
M,587,Bissouma,5.2,5.2,Spurs,31,1.25,36,1.31,26,1.05,28,1.13,25,0.97,24,1.03,15,0.61,8,0.43,7,0.31,6,0.33,0.00
M,588,Odobert,5.3,5.3,Spurs,70,3.19,68,2.58,58,2.57,60,2.97,52,2.10,47,2.38,39,1.90,33,1.94,34,1.54,34,1.50,0.00
M,589,Solomon,5.4,5.4,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,590,Bryan,4.9,4.9,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,591,Gray,4.8,4.8,Spurs,65,2.22,56,1.83,48,1.70,41,1.55,34,1.19,35,1.37,27,1.04,22,0.98,20,0.70,18,0.68,0.00
M,592,Moore,5.0,5.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,593,P.M.Sarr,4.5,4.5,Spurs,56,2.37,52,1.93,56,2.26,48,2.15,43,1.67,38,1.72,31,1.36,22,1.17,18,0.76,19,0.81,0.00
M,594,Min-hyeok,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,595,Olusesi,4.3,4.3,Spurs,0,0.00,1,0.08,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
